input_mode,scenario,sequence_length,has_swap,model_answer,outcome
composite,seq_048,14,False,False,TN
series,seq_033,11,True,False,FN
composite,seq_033,11,True,True,TP
series,seq_033,11,False,True,FP
composite,seq_033,11,False,True,FP
series,seq_018,8,True,False,FN
composite,seq_018,8,True,True,TP
series,seq_018,8,False,False,TN
composite,seq_018,8,False,True,FP
series,seq_043,13,True,False,FN
composite,seq_043,13,True,False,FN
series,seq_043,13,False,False,TN
composite,seq_043,13,False,False,TN
series,seq_000,5,True,True,TP
composite,seq_000,5,True,True,TP
series,seq_000,5,False,True,FP
composite,seq_000,5,False,True,FP
series,seq_035,12,True,False,FN
composite,seq_035,12,True,False,FN
series,seq_035,12,False,False,TN
composite,seq_035,12,False,False,TN
series,seq_024,9,True,False,FN
composite,seq_024,9,True,True,TP
series,seq_024,9,False,False,TN
composite,seq_024,9,False,True,FP
series,seq_010,7,True,False,FN
composite,seq_010,7,True,True,TP
series,seq_010,7,False,False,TN
composite,seq_010,7,False,True,FP
series,seq_038,12,True,False,FN
composite,seq_038,12,True,True,TP
series,seq_038,12,False,False,TN
composite,seq_038,12,False,True,FP
series,seq_039,12,True,False,FN
composite,seq_039,12,True,True,TP
series,seq_039,12,False,False,TN
composite,seq_039,12,False,False,TN
series,seq_003,5,True,True,TP
composite,seq_003,5,True,False,FN
series,seq_003,5,False,True,FP
composite,seq_003,5,False,True,FP
series,seq_012,7,True,False,FN
composite,seq_012,7,True,True,TP
series,seq_012,7,False,False,TN
composite,seq_012,7,False,True,FP
series,seq_021,9,True,True,TP
composite,seq_021,9,True,False,FN
series,seq_021,9,False,True,FP
composite,seq_021,9,False,True,FP
series,seq_031,11,True,False,FN
composite,seq_031,11,True,False,FN
series,seq_031,11,False,False,TN
composite,seq_031,11,False,True,FP
series,seq_016,8,True,True,TP
composite,seq_016,8,True,True,TP
series,seq_016,8,False,False,TN
composite,seq_016,8,False,True,FP
series,seq_029,10,True,False,FN
composite,seq_029,10,True,True,TP
series,seq_029,10,False,False,TN
composite,seq_029,10,False,False,TN
series,seq_009,6,True,False,FN
composite,seq_009,6,True,True,TP
series,seq_009,6,False,False,TN
composite,seq_009,6,False,True,FP
series,seq_026,10,True,False,FN
composite,seq_026,10,True,True,TP
series,seq_026,10,False,False,TN
composite,seq_026,10,False,True,FP
series,seq_045,14,True,False,FN
composite,seq_045,14,True,True,TP
series,seq_045,14,False,False,TN
composite,seq_045,14,False,True,FP
series,seq_004,5,True,False,FN
composite,seq_004,5,True,True,TP
series,seq_004,5,False,False,TN
composite,seq_004,5,False,False,TN
series,seq_011,7,True,True,TP
composite,seq_011,7,True,False,FN
series,seq_011,7,False,True,FP
composite,seq_011,7,False,False,TN
series,seq_019,8,True,False,FN
composite,seq_019,8,True,True,TP
series,seq_019,8,False,False,TN
composite,seq_019,8,False,False,TN
series,seq_023,9,True,False,FN
composite,seq_023,9,True,False,FN
series,seq_023,9,False,False,TN
composite,seq_023,9,False,False,TN
series,seq_025,10,True,False,FN
composite,seq_025,10,True,True,TP
series,seq_025,10,False,False,TN
composite,seq_025,10,False,True,FP
