scenario,seq_len,ground_truth,answer,lpips
scene_515,4,True,no,0.348452
scene_678,6,True,yes,0.074890
scene_477,6,False,no,0.373774
scene_75,4,True,yes,0.542513
scene_369,8,True,no,0.379569
scene_491,4,False,yes,0.567878
scene_18,7,False,no,0.211193
scene_279,6,False,yes,0.241700
scene_76,6,False,yes,0.500366
scene_446,4,False,yes,0.264288
scene_611,4,True,yes,0.375894
scene_329,6,False,yes,0.382777
scene_287,4,True,yes,0.455117
scene_218,7,False,yes,0.419158
scene_282,7,True,no,0.324473
scene_563,6,True,yes,0.072289
scene_82,5,True,no,0.419461
scene_134,6,False,yes,0.300157
scene_66,8,False,yes,0.351115
scene_170,5,True,no,0.394969
scene_422,7,False,yes,0.407448
scene_22,8,True,yes,0.091547
scene_586,6,True,yes,0.162432
scene_415,7,False,no,0.403892
scene_434,5,False,no,0.545157
scene_26,6,False,yes,0.353434
scene_533,8,False,no,0.251134
scene_619,6,True,yes,0.388886
scene_258,4,True,yes,0.516545
scene_324,4,True,no,0.611364
scene_364,6,True,yes,0.077427
scene_621,4,False,no,0.293142
scene_107,7,False,no,0.298854
scene_309,6,False,no,0.267968
scene_144,7,False,yes,0.299775
scene_139,8,False,no,0.306683
scene_407,5,False,yes,0.420243
scene_328,8,False,yes,0.093826
scene_54,6,False,yes,0.479530
scene_539,6,False,no,0.519364
scene_625,5,False,no,0.444009
scene_68,6,False,yes,0.578258
scene_53,7,False,yes,0.105447
scene_355,6,True,yes,0.064063
scene_283,4,False,no,0.108848
scene_351,4,False,yes,0.385840
scene_651,4,True,yes,0.475190
scene_313,6,True,yes,0.219843
scene_154,7,True,no,0.235320
scene_278,6,False,yes,0.384986
scene_587,4,True,yes,0.335576
scene_575,7,True,no,0.267737
scene_145,8,True,no,0.113298
scene_189,4,True,no,0.271675
scene_125,8,True,yes,0.185567
scene_528,8,True,yes,0.104831
scene_178,7,True,yes,0.344409
scene_358,4,True,yes,0.606330
scene_360,6,False,yes,0.344898
scene_259,4,True,no,0.522932
scene_427,8,False,no,0.382010
scene_275,6,True,yes,0.312377
scene_653,5,True,no,0.446905
scene_51,6,False,yes,0.286341
scene_288,5,True,no,0.289770
scene_318,6,False,yes,0.235233
scene_354,7,False,no,0.495516
scene_4,4,True,yes,0.396070
scene_37,6,False,yes,0.185416
scene_366,5,False,no,0.455825
scene_610,6,False,yes,0.437099
scene_153,8,True,yes,0.285953
scene_467,4,True,yes,0.448425
scene_343,5,True,yes,0.386966
scene_493,6,False,yes,0.006057
scene_202,6,False,no,0.382469
scene_420,4,False,no,0.556051
scene_122,7,False,no,0.329350
scene_397,5,False,yes,0.020622
scene_535,5,False,no,0.431098
scene_658,4,False,yes,0.460638
scene_133,8,False,no,0.241303
scene_562,4,True,no,0.373274
scene_267,7,True,no,0.254962
scene_289,5,True,yes,0.478788
scene_298,6,True,yes,0.045757
scene_336,6,True,yes,0.317449
scene_624,7,False,no,0.522185
scene_646,7,True,yes,0.362597
scene_317,7,True,yes,0.461025
scene_20,8,True,yes,0.294632
scene_384,7,False,yes,0.290288
scene_402,8,False,yes,0.384131
scene_126,8,True,yes,0.312116
scene_291,4,True,yes,0.310182
scene_61,5,True,no,0.265553
scene_561,7,False,yes,0.333577
scene_120,6,True,yes,0.302310
scene_345,4,False,no,0.358200
scene_506,5,True,yes,0.010316
scene_304,4,False,no,0.492132
scene_35,6,False,yes,0.297821
scene_681,6,True,yes,0.285484
scene_41,4,False,no,0.409623
scene_260,7,True,yes,0.357777
scene_396,8,False,no,0.454106
scene_537,5,False,yes,0.438043
scene_529,6,False,yes,0.512349
scene_572,6,True,yes,0.376046
scene_244,5,True,yes,0.338916
scene_299,8,False,yes,0.538889
scene_439,7,False,no,0.432966
scene_403,8,False,no,0.004711
scene_160,6,True,yes,0.510559
scene_523,6,True,yes,0.491278
scene_465,6,True,yes,0.471953
scene_277,5,False,no,0.398354
scene_376,7,False,yes,0.475725
scene_635,4,True,yes,0.314979
scene_29,6,False,yes,0.499293
scene_111,8,True,yes,0.420117
scene_151,5,False,no,0.406999
scene_456,4,True,yes,0.308366
scene_79,6,True,yes,0.493546
scene_249,4,False,yes,0.503757
scene_695,4,True,no,0.015042
scene_338,5,False,yes,0.399965
scene_630,5,False,yes,0.552525
scene_418,6,False,yes,0.060248
scene_374,7,True,yes,0.343989
scene_356,8,False,yes,0.357103
scene_452,4,False,yes,0.348430
scene_597,4,False,no,0.407289
scene_232,4,False,yes,0.049297
scene_419,4,False,no,0.582876
scene_485,8,True,no,0.531050
scene_135,8,False,yes,0.314043
scene_199,8,True,yes,0.250888
scene_1,4,True,no,0.449760
scene_194,4,True,yes,0.353019
scene_84,7,True,yes,0.289171
scene_508,7,False,yes,0.308061
scene_526,6,False,no,0.392684
scene_495,5,True,no,0.396520
scene_538,4,False,no,0.126858
scene_496,5,True,no,0.480612
scene_482,7,True,no,0.435338
scene_85,8,True,yes,0.014641
scene_499,5,False,yes,0.426140
scene_385,6,True,yes,0.413461
scene_47,6,False,yes,0.303660
scene_672,8,True,no,0.277424
scene_428,8,False,yes,0.231778
scene_494,6,True,yes,0.312489
scene_333,6,False,yes,0.309998
scene_693,7,False,yes,0.110678
scene_466,5,True,yes,0.402830
scene_692,4,True,yes,0.436988
scene_590,8,True,yes,0.015666
scene_460,4,True,no,0.399674
scene_483,5,True,yes,0.006921
scene_226,8,True,yes,0.457953
scene_38,5,False,yes,0.318111
scene_447,4,True,no,0.101181
scene_458,5,True,no,0.006096
scene_236,4,True,yes,0.425229
scene_498,4,True,no,0.543258
scene_583,6,False,no,0.522907
scene_475,4,False,yes,0.442703
scene_638,5,False,yes,0.612521
scene_229,8,True,yes,0.250738
scene_606,5,True,yes,0.359631
scene_481,5,False,no,0.379530
scene_98,5,False,yes,0.527810
scene_647,5,True,yes,0.004887
scene_55,8,True,no,0.367007
scene_441,5,False,yes,0.371856
scene_409,4,True,yes,0.523924
scene_173,8,False,yes,0.207227
scene_372,5,False,yes,0.053675
scene_206,5,False,no,0.003922
scene_31,7,True,no,0.188413
scene_50,5,True,yes,0.449727
scene_330,6,False,no,0.596831
scene_334,6,True,yes,0.413762
scene_659,4,True,yes,0.406834
scene_676,6,True,no,0.373872
scene_628,5,True,yes,0.423121
scene_442,7,True,yes,0.493579
scene_239,5,False,yes,0.100020
scene_210,5,False,yes,0.467269
scene_527,5,True,yes,0.449532
scene_181,4,True,yes,0.459480
scene_660,7,True,no,0.165898
scene_337,5,False,yes,0.335057
scene_49,7,False,no,0.336209
scene_582,7,True,yes,0.324452
scene_97,6,True,yes,0.410421
scene_208,7,True,yes,0.044473
scene_413,6,False,yes,0.312597
scene_487,6,True,yes,0.510236
scene_401,6,True,yes,0.096846
scene_124,4,False,no,0.427337
scene_242,6,True,yes,0.566359
scene_295,4,True,yes,0.364086
scene_292,4,True,yes,0.445565
scene_451,6,False,yes,0.359092
scene_478,6,True,yes,0.415646
scene_588,5,True,yes,0.295227
scene_605,8,True,yes,0.375457
scene_615,8,True,no,0.487732
scene_109,7,False,yes,0.373708
scene_248,4,True,yes,0.458971
scene_342,5,True,yes,0.222927
scene_595,4,False,no,0.345029
scene_121,4,False,yes,0.301462
scene_263,8,False,yes,0.323929
scene_36,5,False,yes,0.457403
scene_530,4,True,yes,0.449297
scene_440,8,True,yes,0.377734
scene_16,5,False,no,0.369471
scene_463,4,False,yes,0.472906
scene_34,6,True,yes,0.375053
scene_569,7,False,no,0.472984
scene_682,5,False,yes,0.427279
scene_608,6,False,yes,0.442296
scene_362,6,False,yes,0.074441
scene_72,6,True,yes,0.519361
scene_7,6,False,no,0.133763
scene_670,4,False,no,0.304099
scene_235,4,False,no,0.252989
scene_21,4,False,yes,0.608029
scene_346,6,True,yes,0.446707
scene_577,7,False,yes,0.492265
scene_230,6,False,yes,0.325981
scene_253,4,False,yes,0.434303
scene_123,4,False,yes,0.417406
scene_462,5,True,yes,0.379904
scene_448,6,False,yes,0.372084
scene_550,5,False,yes,0.270570
scene_589,7,False,no,0.530535
scene_319,4,False,yes,0.035596
scene_205,7,False,yes,0.359932
scene_685,7,False,yes,0.193067
scene_433,8,True,no,0.037072
scene_596,7,False,yes,0.281291
scene_169,8,True,no,0.366544
scene_486,5,False,yes,0.290361
scene_131,6,False,yes,0.445588
scene_128,6,True,yes,0.435250
scene_70,5,True,yes,0.345732
scene_497,5,False,yes,0.362008
scene_87,6,True,yes,0.334277
scene_645,7,True,yes,0.068776
scene_246,6,True,yes,0.468241
scene_59,8,True,no,0.279380
scene_245,7,True,no,0.599783
scene_314,8,False,yes,0.391790
scene_371,7,False,yes,0.305762
scene_644,6,False,yes,0.480596
scene_19,6,True,yes,0.379677
scene_500,6,True,yes,0.369367
scene_331,8,False,yes,0.262843
scene_0,8,True,yes,0.234489
scene_543,8,False,yes,0.338709
scene_165,8,True,yes,0.373369
scene_382,8,False,yes,0.467149
scene_668,8,True,no,0.346690
scene_674,8,False,yes,0.405004
scene_556,5,False,yes,0.508120
scene_305,4,True,no,0.471218
scene_108,8,False,yes,0.236347
scene_519,7,True,no,0.345244
scene_182,8,True,yes,0.388468
scene_512,5,True,yes,0.330810
scene_640,7,True,yes,0.014987
scene_3,8,False,yes,0.351291
scene_629,6,True,yes,0.327528
scene_161,4,True,yes,0.082367
scene_445,4,False,yes,0.429755
scene_643,6,True,yes,0.392492
scene_694,6,True,no,0.364676
scene_663,8,False,yes,0.111706
scene_623,5,True,yes,0.274535
scene_648,5,False,no,0.274341
scene_117,4,True,yes,0.419781
scene_11,8,False,no,0.174383
scene_566,6,True,no,0.338457
scene_257,6,True,yes,0.491924
scene_541,7,False,yes,0.388413
scene_479,5,False,yes,0.035893
scene_390,5,False,yes,0.521607
scene_394,8,False,yes,0.127479
scene_65,6,True,yes,0.463676
scene_664,8,True,no,0.321462
scene_673,5,False,yes,0.202575
scene_156,5,False,no,0.007998
scene_112,4,True,no,0.352630
scene_48,5,False,yes,0.141083
scene_93,6,False,yes,0.065018
scene_505,4,False,yes,0.512558
scene_521,6,False,yes,0.559341
scene_141,6,True,no,0.092114
scene_613,4,True,no,0.193042
scene_641,5,False,yes,0.492170
scene_408,4,True,yes,0.465178
scene_438,8,False,no,0.340242
scene_269,7,False,no,0.308447
scene_551,5,True,yes,0.411620
scene_675,6,True,yes,0.382399
scene_252,5,True,yes,0.111015
scene_689,6,False,yes,0.433656
scene_271,5,False,yes,0.493263
scene_146,7,True,yes,0.278928
scene_469,8,False,no,0.507530
scene_405,6,False,no,0.226028
scene_511,8,True,no,0.212814
scene_217,4,True,no,0.427240
scene_322,8,True,no,0.182163
scene_580,7,False,yes,0.362211
scene_216,6,True,yes,0.069003
scene_67,5,False,yes,0.341105
scene_274,5,True,no,0.309346
scene_410,4,True,no,0.358814
scene_323,6,False,no,0.037854
scene_683,4,True,yes,0.306854
scene_234,5,True,no,0.009699
scene_57,8,False,no,0.123112
scene_332,5,False,yes,0.451947
scene_224,5,False,no,0.173211
scene_570,7,False,yes,0.364336
scene_276,6,True,yes,0.056952
scene_388,6,False,yes,0.419747
scene_473,6,False,no,0.344836
scene_167,6,True,yes,0.149580
scene_691,4,True,yes,0.429447
scene_546,7,True,no,0.478588
scene_175,5,False,yes,0.091415
scene_73,6,False,yes,0.443216
scene_273,6,False,yes,0.360112
scene_214,4,True,yes,0.528809
scene_363,6,False,yes,0.173063
scene_379,6,False,yes,0.504452
scene_166,7,True,yes,0.309402
scene_373,5,False,no,0.084290
scene_464,7,False,yes,0.469949
scene_662,4,True,no,0.430352
scene_656,4,True,no,0.344289
scene_103,5,True,no,0.342112
scene_679,6,False,yes,0.275100
scene_81,5,False,yes,0.006813
scene_296,5,False,yes,0.447770
scene_233,6,True,yes,0.533342
scene_46,5,False,yes,0.514047
scene_71,8,True,no,0.318224
scene_196,5,True,yes,0.540233
scene_591,5,True,no,0.204925
scene_370,5,True,yes,0.452683
scene_633,6,False,yes,0.267811
scene_300,4,True,yes,0.404407
scene_565,4,False,yes,0.323300
scene_80,6,True,no,0.339099
scene_387,6,False,yes,0.195670
scene_127,6,False,no,0.056301
scene_549,5,True,no,0.517812
scene_470,7,False,yes,0.361723
scene_44,8,True,yes,0.239747
scene_270,4,True,yes,0.250383
scene_618,5,False,yes,0.210645
scene_352,4,True,yes,0.616595
scene_367,4,False,yes,0.499041
scene_99,4,False,yes,0.393175
scene_389,4,False,yes,0.393560
scene_94,5,True,no,0.531306
scene_688,5,True,no,0.453875
scene_344,5,False,yes,0.089181
scene_220,6,False,no,0.447094
scene_159,5,False,yes,0.425959
scene_667,4,False,no,0.447713
scene_348,8,False,no,0.103407
scene_684,8,True,yes,0.354972
scene_163,6,True,no,0.327781
scene_6,6,False,yes,0.278688
scene_284,5,False,yes,0.382499
scene_603,5,False,no,0.383636
scene_459,4,False,yes,0.548461
scene_225,8,False,yes,0.339901
scene_429,5,False,no,0.548825
scene_687,4,False,yes,0.526265
scene_665,4,False,yes,0.036409
scene_203,8,True,yes,0.261203
scene_574,4,True,no,0.425589
scene_27,8,False,yes,0.125447
scene_616,6,True,no,0.297446
scene_517,7,True,yes,0.475640
scene_238,8,True,yes,0.246940
scene_223,6,False,no,0.083645
scene_95,8,False,yes,0.007474
scene_30,6,True,yes,0.330022
scene_32,8,False,yes,0.485411
scene_432,6,False,yes,0.124989
scene_604,8,True,no,0.509771
scene_89,8,False,yes,0.144644
scene_558,6,False,yes,0.450682
scene_104,4,True,yes,0.528377
scene_142,6,False,yes,0.047233
scene_228,5,True,yes,0.305441
scene_250,4,True,no,0.420971
scene_281,5,False,yes,0.033111
scene_25,5,False,yes,0.438746
scene_114,6,False,yes,0.443133
scene_654,8,False,no,0.243597
