scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_10770,8,True,no,0.158066,0.190418
scene_12886,7,True,yes,0.048956,0.220063
scene_10596,8,True,no,0.180864,0.196554
scene_14118,8,False,no,0.234774,0.160411
scene_13834,7,True,no,0.186975,0.273594
scene_14713,7,False,no,0.096224,0.134970
scene_14373,8,False,no,0.189534,0.242149
scene_12294,8,True,no,0.120003,0.184075
scene_10831,7,False,no,0.041446,0.157478
scene_12560,8,True,no,0.274421,0.308444
scene_10594,8,True,no,0.094596,0.141967
scene_10701,7,False,no,0.130325,0.224646
scene_14856,7,True,no,0.060057,0.182347
scene_14556,7,True,no,0.081054,0.151956
scene_12373,8,True,yes,0.076232,0.160472
scene_14305,8,True,no,0.090003,0.174214
scene_10155,8,False,no,0.177673,0.203476
scene_14004,8,True,no,0.092658,0.191238
scene_10018,8,True,no,0.265879,0.260686
scene_14886,8,True,no,0.102790,0.240824
scene_12582,8,False,no,0.122067,0.218482
scene_12994,7,True,no,0.175268,0.165745
scene_13671,5,True,no,0.042585,0.062910
scene_11122,7,False,no,0.036275,0.112434
scene_14068,7,True,no,0.070942,0.203279
scene_13770,8,False,no,0.094876,0.250056
scene_12870,8,True,no,0.100949,0.186432
scene_14943,7,True,no,0.071949,0.126488
scene_14868,8,False,no,0.101403,0.227886
scene_14200,8,False,yes,0.216128,0.303407
scene_14133,7,False,no,0.035496,0.294163
scene_13915,7,False,no,0.184210,0.178670
scene_14388,7,True,no,0.015035,0.288549
scene_13881,8,True,no,0.135151,0.194541
scene_11689,8,False,yes,0.214866,0.251939
scene_13872,8,False,no,0.182805,0.271866
scene_14560,8,True,no,0.137388,0.190444
scene_11597,8,True,no,0.044324,0.165899
scene_13643,7,True,no,0.156084,0.113596
scene_11135,6,False,no,0.033143,0.072993
scene_11891,8,True,no,0.103753,0.180269
scene_13015,7,False,no,0.068240,0.130770
scene_14580,7,False,yes,0.085876,0.132446
scene_11251,8,True,yes,0.215128,0.214741
scene_11492,8,True,no,0.217821,0.219311
scene_14918,8,False,no,0.173533,0.275069
scene_10724,8,True,no,0.223442,0.270151
scene_10238,8,False,no,0.196290,0.278176
scene_14358,8,False,no,0.073417,0.219965
scene_13330,8,False,no,0.206407,0.265368
scene_12701,8,False,no,0.096161,0.223990
scene_13902,7,True,no,0.140308,0.177349
scene_12339,8,True,no,0.137911,0.169909
scene_11553,8,False,no,0.136033,0.259811
scene_10296,8,False,no,0.166930,0.254312
scene_10544,7,False,no,0.077478,0.129953
scene_12943,8,True,no,0.132493,0.265530
scene_13555,8,True,no,0.119952,0.229308
scene_14782,8,False,yes,0.101690,0.134889
scene_11835,7,True,no,0.086712,0.149788
scene_12333,8,False,yes,0.084002,0.215043
scene_12625,8,False,no,0.089323,0.189031
scene_13647,8,False,no,0.199958,0.218449
scene_10251,7,True,yes,0.174561,0.256971
scene_14652,8,True,yes,0.108745,0.180193
scene_11662,8,True,no,0.162216,0.258433
scene_13286,8,False,yes,0.161708,0.256392
scene_11066,6,True,no,0.020505,0.091990
scene_14552,7,False,no,0.078026,0.226901
scene_10758,7,False,no,0.064976,0.112890
scene_13966,5,False,no,0.031243,0.065527
scene_12106,8,False,no,0.210501,0.246772
scene_11912,8,True,no,0.189348,0.289225
scene_11866,8,False,yes,0.147998,0.193773
scene_14091,7,True,no,0.104207,0.145291
scene_11679,6,True,no,0.274810,0.286934
scene_13645,8,True,no,0.232513,0.249117
scene_14641,8,True,no,0.193585,0.237461
scene_13642,6,True,no,0.162982,0.146009
scene_14928,8,True,no,0.083793,0.233243
scene_13988,6,False,no,0.162392,0.172874
scene_13584,8,True,no,0.103359,0.153983
scene_12646,7,False,no,0.133089,0.198218
scene_10673,6,True,no,0.126417,0.158770
scene_11677,7,True,no,0.155882,0.234455
scene_10794,6,True,no,0.062934,0.153492
scene_10590,8,False,no,0.229902,0.231101
scene_11002,8,False,no,0.231830,0.402075
scene_10640,7,False,no,0.058680,0.208232
scene_14797,7,True,no,0.131085,0.147884
scene_12019,7,False,no,0.287950,0.301543
scene_14016,7,True,no,0.089742,0.144588
scene_10957,7,False,yes,0.101841,0.170283
scene_14182,8,True,yes,0.239871,0.319449
scene_14170,7,True,no,0.075789,0.120132
scene_13204,8,True,no,0.168437,0.229283
scene_10961,6,False,no,0.041943,0.066424
scene_14081,8,True,no,0.089993,0.277683
scene_10588,8,False,yes,0.251923,0.321475
scene_11650,7,False,no,0.043113,0.165239
scene_11856,8,True,no,0.190920,0.282969
scene_10832,8,True,yes,0.228940,0.291092
scene_11967,7,True,no,0.054466,0.138380
scene_11476,8,True,no,0.122911,0.323980
scene_14734,8,False,no,0.108998,0.190884
scene_13927,8,True,no,0.153003,0.250502
scene_10839,8,False,no,0.059389,0.123821
scene_14884,7,False,no,0.140946,0.305393
scene_11931,7,True,no,0.190078,0.227311
scene_13839,7,False,no,0.077676,0.129129
scene_14879,7,False,no,0.081125,0.190861
scene_12785,8,False,no,0.301385,0.311153
scene_14864,7,False,no,0.216919,0.229984
scene_11106,8,True,no,0.084203,0.295437
scene_14207,7,True,no,0.075424,0.098953
scene_10394,7,False,no,0.239836,0.212965
scene_11012,8,True,yes,0.328172,0.304686
scene_10810,8,False,yes,0.256315,0.347995
scene_12023,8,True,no,0.123129,0.220515
scene_12513,8,False,no,0.184248,0.283302
scene_11138,8,True,no,0.110228,0.203861
scene_13137,8,False,no,0.075100,0.205888
scene_14021,8,False,no,0.082719,0.300931
scene_11972,7,False,no,0.036544,0.172737
scene_12817,7,False,no,0.125422,0.195956
scene_10180,8,True,no,0.088059,0.222123
scene_12508,7,True,no,0.253273,0.196260
scene_11026,7,False,no,0.202799,0.218257
scene_10854,8,False,yes,0.141092,0.232938
scene_10202,8,False,no,0.071526,0.157407
scene_13177,8,True,no,0.188141,0.272609
scene_11224,8,True,no,0.133956,0.237901
scene_11609,7,False,no,0.065544,0.106139
scene_10256,7,True,no,0.029463,0.204790
scene_13390,8,True,no,0.174591,0.285902
scene_12396,6,True,no,0.271988,0.255235
scene_11162,8,False,no,0.108405,0.194622
scene_10693,7,True,yes,0.138641,0.205190
scene_14823,8,False,no,0.100504,0.285803
scene_12376,7,False,no,0.187678,0.288437
scene_11103,7,False,no,0.094077,0.129074
scene_12677,8,True,no,0.344018,0.313830
scene_14213,7,True,no,0.149973,0.218982
scene_11040,8,False,no,0.194582,0.271842
scene_10163,8,True,yes,0.182001,0.221230
scene_14405,7,True,no,0.169485,0.214406
scene_14595,8,True,yes,0.138132,0.407626
scene_11996,8,True,no,0.068323,0.174712
scene_10000,8,False,no,0.166479,0.315553
scene_14469,8,True,yes,0.115074,0.251335
scene_11291,7,False,no,0.114097,0.170016
scene_13985,8,True,no,0.127153,0.242623
scene_14117,7,False,no,0.150967,0.211168
scene_11284,7,False,no,0.144568,0.135180
scene_10875,8,True,yes,0.074390,0.234030
scene_10559,8,False,no,0.105860,0.217368
scene_12707,7,True,no,0.099904,0.172908
scene_10294,8,False,no,0.170083,0.278831
scene_12516,8,False,no,0.103294,0.233910
scene_11174,7,True,yes,0.092357,0.140869
scene_13936,7,True,no,0.096582,0.189792
scene_12729,8,False,yes,0.192992,0.298396
scene_12340,7,False,no,0.140988,0.198732
scene_10022,5,False,no,0.043151,0.058541
scene_13931,8,False,no,0.084634,0.165825
scene_10146,8,True,no,0.083689,0.218356
scene_12947,7,False,no,0.157361,0.243153
scene_11018,8,False,no,0.084651,0.208675
scene_10117,7,True,no,0.202787,0.218757
scene_13443,7,True,no,0.161611,0.296736
scene_12767,7,False,no,0.023695,0.247910
scene_14591,6,True,no,0.250588,0.202044
scene_14149,8,False,no,0.177714,0.264840
scene_14249,6,False,no,0.056504,0.175312
scene_13962,7,True,yes,0.002646,0.113233
scene_10717,8,False,no,0.229563,0.392510
scene_14558,8,False,no,0.157117,0.236622
scene_14866,8,True,no,0.073830,0.158420
scene_11874,8,True,no,0.148595,0.253497
scene_10071,8,True,no,0.060966,0.155536
scene_13454,8,True,no,0.126235,0.291120
scene_10061,8,False,no,0.292198,0.381876
scene_12223,8,False,no,0.142916,0.182783
scene_13500,8,True,no,0.135588,0.271490
scene_12375,7,True,no,0.059154,0.163617
scene_11745,7,True,no,0.075993,0.107719
scene_10042,7,True,no,0.198872,0.247133
scene_14150,7,False,no,0.153602,0.209410
scene_14528,7,False,no,0.073365,0.137222
scene_12051,8,False,no,0.191129,0.200065
scene_10331,7,False,yes,0.085985,0.189512
scene_14981,7,True,no,0.168834,0.199277
scene_10377,7,True,no,0.165786,0.205997
scene_14275,7,False,no,0.052779,0.088555
scene_13257,8,False,yes,0.058054,0.202588
scene_14749,7,False,no,0.175307,0.214259
scene_10915,8,False,no,0.181425,0.240614
scene_12619,8,True,no,0.145288,0.214098
scene_10436,7,False,no,0.128797,0.210361
scene_10730,6,True,no,0.038437,0.089949
scene_13768,8,False,yes,0.092964,0.216967
scene_14465,7,True,no,0.119106,0.213671
scene_11145,8,False,yes,0.119381,0.208296
scene_12094,8,False,yes,0.054028,0.111955
scene_14942,8,True,no,0.124205,0.276642
scene_13122,8,False,no,0.223603,0.285771
scene_14532,7,False,no,0.148050,0.209893
scene_11089,8,False,no,0.092542,0.173522
scene_10088,8,True,no,0.259271,0.192252
scene_14665,8,False,no,0.096392,0.258739
scene_14888,8,False,no,0.092100,0.144432
scene_10221,8,True,no,0.064160,0.183767
scene_11248,7,False,no,0.021355,0.117766
scene_11201,7,False,no,0.048576,0.101220
scene_14789,8,True,no,0.211525,0.260106
scene_14187,8,False,no,0.103775,0.208068
scene_11058,8,True,no,0.337892,0.405877
scene_10133,8,False,no,0.159387,0.184832
scene_10032,7,True,yes,0.043880,0.214557
scene_11480,7,True,yes,0.206900,0.158947
scene_10225,7,True,no,0.276674,0.244074
scene_10858,8,True,no,0.220052,0.244792
scene_11076,8,True,no,0.091382,0.227768
scene_10870,8,False,no,0.289648,0.384111
scene_14309,6,True,no,0.020116,0.179238
scene_11156,7,True,no,0.054856,0.234530
scene_14271,8,True,no,0.068679,0.185788
scene_11803,7,True,no,0.275412,0.213013
scene_12675,7,True,no,0.083668,0.188183
scene_11905,7,True,no,0.051955,0.215941
scene_10297,7,True,no,0.088543,0.136581
scene_13978,8,False,no,0.190511,0.233356
scene_10631,8,True,yes,0.216284,0.286032
scene_10371,8,True,no,0.185615,0.260872
scene_11340,8,True,yes,0.112793,0.147594
scene_10030,8,False,no,0.118773,0.227442
scene_12769,7,True,yes,0.218597,0.214279
scene_14893,8,False,no,0.106455,0.215360
scene_12731,7,False,yes,0.192523,0.232412
scene_13763,8,False,no,0.222566,0.336269
scene_13675,7,True,yes,0.154177,0.215684
scene_13214,7,True,no,0.183763,0.240726
scene_11669,7,False,no,0.090530,0.103167
scene_14606,8,False,yes,0.103073,0.371116
scene_14814,7,False,no,0.141329,0.208487
scene_13794,8,True,no,0.154130,0.316173
scene_13607,8,False,no,0.135253,0.229660
scene_12252,8,False,no,0.089102,0.256970
scene_14258,8,True,no,0.056655,0.115031
scene_11637,7,True,no,0.267485,0.276449
scene_10047,8,True,no,0.276309,0.333154
scene_10676,7,False,yes,0.173306,0.178658
scene_13446,8,False,no,0.073701,0.181066
scene_11783,8,False,no,0.125685,0.154263
scene_14082,6,False,yes,0.191239,0.168484
scene_11462,8,True,no,0.132547,0.289109
scene_11616,7,False,yes,0.040612,0.129852
scene_11315,7,True,no,0.152307,0.246250
scene_10432,8,True,no,0.139703,0.226417
scene_13699,8,False,yes,0.070953,0.207149
scene_14468,7,True,no,0.324231,0.306688
scene_13351,7,True,no,0.180970,0.200530
scene_10901,7,False,yes,0.071778,0.090555
scene_13219,7,False,no,0.045492,0.201748
scene_10723,7,False,yes,0.223872,0.275688
scene_10337,8,False,no,0.328106,0.323913
scene_12185,8,False,no,0.222657,0.292783
scene_10996,8,True,no,0.133731,0.262526
scene_11279,8,False,no,0.093504,0.166146
scene_13268,8,True,no,0.173157,0.311349
scene_13043,8,False,no,0.098911,0.149233
scene_13861,7,True,yes,0.079245,0.169439
scene_11182,7,True,no,0.063943,0.101773
scene_11330,8,True,yes,0.127454,0.229809
scene_13912,7,True,no,0.080663,0.179057
scene_13452,7,False,yes,0.102778,0.157815
scene_11275,7,False,no,0.213379,0.231277
scene_13836,8,True,no,0.065100,0.136013
scene_14066,6,False,no,0.106077,0.156667
scene_10876,7,False,no,0.014101,0.124386
scene_13484,8,True,no,0.108537,0.226112
scene_10293,8,True,no,0.153806,0.243650
scene_10056,8,False,no,0.089708,0.201846
scene_10474,8,False,no,0.201439,0.269154
scene_13053,7,False,yes,0.000845,0.139554
scene_10918,8,False,yes,0.088170,0.182635
scene_14815,8,False,no,0.080873,0.257133
scene_11730,7,True,no,0.265852,0.235254
scene_13934,8,False,no,0.123992,0.168211
scene_14160,7,True,yes,0.135146,0.184327
scene_10348,7,False,no,0.092785,0.162986
scene_13481,7,True,no,0.117582,0.175024
scene_14038,7,False,no,0.066587,0.204098
scene_11157,8,False,no,0.078296,0.323449
scene_13350,8,False,no,0.049554,0.197431
scene_11447,6,False,no,0.277736,0.252940
scene_10418,7,False,no,0.116593,0.208330
scene_10712,8,False,no,0.158308,0.251053
scene_12150,8,False,no,0.070718,0.175474
scene_14803,8,False,no,0.074815,0.135151
scene_11658,8,False,no,0.180078,0.292876
scene_14570,7,False,no,0.304279,0.330063
scene_10101,7,False,yes,0.301465,0.301364
scene_11613,8,False,no,0.149912,0.166525
scene_11434,8,False,no,0.138471,0.345754
scene_10759,8,True,no,0.183997,0.296363
scene_14903,8,False,no,0.078365,0.203138
scene_13166,7,False,yes,0.214984,0.208405
scene_13197,8,True,no,0.161908,0.297917
scene_12357,8,False,no,0.060959,0.180677
scene_11071,8,False,no,0.141608,0.243754
scene_12893,8,True,no,0.094752,0.180791
scene_11097,7,False,no,0.075467,0.134021
scene_12756,7,True,no,0.266106,0.212486
scene_12143,8,True,no,0.161515,0.225803
scene_12216,7,True,no,0.001168,0.252071
scene_12710,7,True,yes,0.086518,0.122455
scene_13240,8,True,yes,0.198710,0.261332
scene_11982,8,True,no,0.104460,0.225045
scene_11453,8,True,no,0.046309,0.284761
scene_10389,7,True,no,0.211992,0.277260
scene_13393,8,False,no,0.158552,0.241545
scene_10934,7,True,no,0.031349,0.249431
scene_14851,7,False,no,0.062819,0.229711
scene_14921,8,True,no,0.127852,0.148181
scene_10433,6,False,no,0.191446,0.173091
scene_13545,8,True,no,0.125302,0.204081
scene_13692,7,True,no,0.060491,0.138559
scene_10078,8,False,no,0.274593,0.223376
scene_13463,8,False,no,0.158508,0.160319
scene_14709,8,True,no,0.088170,0.196254
scene_14100,7,False,no,0.026337,0.129549
scene_11244,7,False,no,0.111309,0.301054
scene_10402,7,False,no,0.027601,0.238048
scene_13002,8,True,no,0.086414,0.182466
scene_11188,8,True,no,0.064984,0.260489
scene_14099,5,True,no,0.053354,0.052203
scene_12758,6,False,no,0.168385,0.187233
scene_12055,8,False,no,0.119817,0.195855
scene_14882,7,False,no,0.178663,0.189640
scene_10010,8,False,no,0.216549,0.279772
scene_13109,8,False,no,0.205697,0.268837
scene_12828,8,False,no,0.165182,0.264178
scene_12610,8,False,yes,0.130642,0.344377
scene_14932,7,False,no,0.099018,0.156958
scene_10847,8,True,no,0.147984,0.238978
scene_13605,8,True,no,0.304878,0.260494
scene_12397,8,True,no,0.074110,0.156653
scene_12464,7,True,yes,0.051571,0.103036
scene_12849,8,True,no,0.225750,0.284212
scene_13721,7,False,no,0.295601,0.348637
scene_13304,8,True,yes,0.149457,0.196445
scene_10892,8,False,no,0.138240,0.195186
scene_11714,8,True,no,0.262127,0.257209
scene_10364,7,True,yes,0.056936,0.143175
scene_11748,8,False,no,0.276323,0.367724
scene_14205,7,True,no,0.052731,0.080618
scene_13269,8,True,yes,0.124109,0.224996
scene_12104,7,False,no,0.142187,0.194673
scene_13544,7,False,yes,0.132640,0.157134
scene_14950,5,False,yes,0.140923,0.117969
scene_14030,8,False,no,0.141897,0.255976
scene_13784,7,True,no,0.054910,0.090922
scene_14542,7,False,yes,0.166859,0.176768
scene_10428,7,True,no,0.178273,0.171237
scene_13964,8,False,no,0.121390,0.190160
scene_12774,8,False,no,0.233332,0.320472
scene_10799,8,True,yes,0.135025,0.265323
scene_10743,6,True,yes,0.057278,0.138815
scene_10084,7,True,no,0.114742,0.148706
scene_10096,8,False,no,0.130685,0.227137
scene_13220,5,False,no,0.035745,0.074391
scene_12888,7,False,no,0.036770,0.220250
scene_12740,7,True,yes,0.256887,0.276669
scene_12792,8,True,no,0.085120,0.258606
scene_13095,8,False,no,0.091753,0.153269
scene_10552,8,False,no,0.232503,0.303422
scene_13922,8,False,no,0.184074,0.210273
scene_11981,5,True,no,0.041988,0.061210
scene_10268,7,True,no,0.044294,0.186301
scene_12180,7,False,no,0.157272,0.165234
scene_11075,8,True,no,0.255128,0.257788
scene_12380,8,False,no,0.121203,0.203890
scene_14241,7,False,no,0.095579,0.138454
scene_12486,7,False,no,0.257129,0.317687
scene_11953,7,True,no,0.065406,0.141975
scene_11319,7,False,no,0.163222,0.195264
scene_13994,7,True,no,0.121919,0.282695
scene_12611,8,False,no,0.115588,0.237987
scene_11636,8,True,no,0.066972,0.197455
scene_13098,8,True,yes,0.179702,0.261405
scene_14461,5,True,no,0.077002,0.089252
scene_13067,8,True,no,0.093550,0.243325
scene_13563,8,False,no,0.221388,0.239290
scene_10052,8,False,no,0.124745,0.269811
scene_10473,8,False,no,0.128483,0.286666
scene_12249,7,True,yes,0.204817,0.241549
scene_12599,8,False,no,0.123862,0.256762
scene_12193,6,False,no,0.072866,0.086017
scene_14863,8,False,no,0.068772,0.205199
scene_11900,8,False,yes,0.085588,0.260715
scene_13121,7,False,yes,0.014498,0.271315
scene_10320,8,True,no,0.061296,0.197475
scene_13851,7,False,no,0.208346,0.246043
scene_10873,8,True,yes,0.070340,0.162168
scene_12243,8,True,no,0.100947,0.156853
scene_10097,6,True,no,0.094807,0.117394
scene_11150,6,True,no,0.078097,0.151194
scene_13258,8,False,no,0.156607,0.251501
scene_13620,7,False,no,0.143154,0.204452
scene_13206,7,True,no,0.189156,0.208104
scene_14314,7,False,yes,0.127254,0.169342
scene_11408,8,True,no,0.102889,0.212261
scene_11399,8,True,no,0.122043,0.273664
scene_13441,8,True,no,0.084787,0.247516
scene_12415,8,False,no,0.234793,0.344298
scene_11197,7,True,no,0.094545,0.156821
scene_11708,7,False,no,0.109170,0.192918
scene_13528,7,True,no,0.121155,0.185362
scene_10196,6,False,yes,0.000849,0.060104
scene_13677,8,True,no,0.088160,0.224616
scene_12624,8,True,no,0.111584,0.174734
scene_14097,7,False,no,0.048586,0.104211
scene_12269,8,True,yes,0.125490,0.166604
scene_10490,8,True,no,0.168627,0.283500
scene_14425,8,True,no,0.150110,0.298649
scene_12840,8,True,no,0.072360,0.214721
scene_11623,7,False,no,0.211728,0.239692
scene_13707,7,True,no,0.080598,0.147176
scene_11682,7,True,no,0.180091,0.280087
scene_13635,8,False,no,0.128073,0.186281
scene_11581,8,True,no,0.177505,0.189774
scene_11116,7,True,no,0.229263,0.286552
scene_13726,7,True,no,0.144731,0.197970
scene_10392,7,True,no,0.100195,0.179223
scene_13418,8,False,no,0.206008,0.316291
scene_10086,7,False,yes,0.342626,0.316430
scene_11335,8,False,no,0.215556,0.264061
scene_13596,7,True,no,0.043233,0.227282
scene_13543,7,True,no,0.120062,0.147719
scene_11141,7,False,no,0.001895,0.128998
scene_13376,7,False,no,0.190773,0.264879
scene_13822,7,False,yes,0.101001,0.155498
scene_10650,8,False,yes,0.182862,0.238067
scene_12902,7,False,no,0.001258,0.170734
scene_11917,8,True,no,0.072195,0.135010
scene_14578,7,True,yes,0.267991,0.256756
scene_13824,8,False,yes,0.134134,0.282962
scene_13996,6,True,yes,0.237253,0.219171
scene_14766,8,False,yes,0.084298,0.288268
scene_10041,7,False,no,0.150078,0.217424
scene_14853,7,False,no,0.148416,0.220880
scene_13797,8,True,no,0.075008,0.198297
scene_14312,8,False,yes,0.221436,0.174950
scene_14438,8,True,no,0.117138,0.166115
scene_10999,7,False,no,0.021561,0.290759
scene_10073,8,True,no,0.156758,0.225152
scene_12932,7,True,no,0.110800,0.206227
scene_13093,8,True,no,0.137537,0.166346
scene_14134,8,True,no,0.225707,0.211874
scene_11405,6,True,no,0.055363,0.127770
scene_12160,7,True,yes,0.131130,0.221133
scene_11975,7,False,no,0.095856,0.115275
scene_11831,8,True,no,0.115392,0.197615
scene_13856,7,False,no,0.157062,0.211850
scene_13055,8,True,no,0.185577,0.212260
scene_11767,7,True,no,0.219653,0.175498
scene_12454,8,False,no,0.090920,0.277013
scene_12350,7,False,no,0.137505,0.201608
scene_12983,8,True,yes,0.075605,0.235296
scene_13086,8,True,yes,0.299595,0.364226
scene_12482,8,True,no,0.141421,0.198505
scene_13168,8,False,no,0.175956,0.265682
scene_14308,7,True,no,0.115371,0.198357
scene_14313,8,True,no,0.102024,0.175426
scene_10484,7,True,no,0.060412,0.203765
scene_11983,8,False,no,0.181997,0.199205
scene_10861,8,True,no,0.210449,0.274245
scene_10482,8,True,no,0.085853,0.235445
scene_14757,7,False,no,0.208166,0.284682
scene_13539,6,True,no,0.046952,0.070140
scene_12496,8,True,no,0.082020,0.155085
scene_10266,7,True,no,0.125325,0.258864
scene_14627,7,True,no,0.136782,0.171415
scene_12565,8,True,no,0.053579,0.231751
scene_10431,7,True,no,0.080452,0.126875
scene_14379,8,True,no,0.075404,0.265832
scene_13158,8,False,no,0.094782,0.310483
scene_11028,7,False,no,0.274896,0.260363
scene_11744,7,False,no,0.128303,0.206752
scene_12451,7,False,yes,0.054103,0.154366
scene_10931,6,True,no,0.038293,0.079491
scene_12203,8,True,yes,0.100496,0.157561
scene_12115,8,False,no,0.099515,0.136939
scene_12314,7,False,no,0.151071,0.148708
scene_11533,6,True,no,0.089664,0.082792
scene_12920,7,False,no,0.000812,0.134369
scene_14166,8,False,no,0.098791,0.224320
scene_11651,7,False,no,0.169390,0.165260
scene_11358,7,False,no,0.057370,0.106930
scene_13821,8,True,yes,0.188724,0.222291
scene_13679,8,False,no,0.205442,0.302374
scene_12948,8,False,yes,0.049935,0.149537
scene_11663,7,False,no,0.044878,0.130530
scene_13265,8,False,no,0.074210,0.266827
scene_12377,8,True,no,0.103367,0.138818
scene_12073,8,False,no,0.093808,0.181920
scene_11709,8,False,yes,0.092473,0.214307
scene_10036,7,False,no,0.182966,0.239238
scene_11080,8,False,no,0.189736,0.253566
scene_14153,7,True,no,0.089633,0.179106
scene_13432,8,False,no,0.107181,0.182440
scene_12863,7,False,no,0.174559,0.229958
scene_11292,4,False,yes,0.052832,0.040589
scene_12976,7,False,no,0.197362,0.177432
scene_12639,8,False,no,0.088556,0.260472
scene_10143,7,False,no,0.274925,0.248343
scene_12881,6,True,no,0.061578,0.132379
scene_13869,7,False,no,0.172256,0.241396
scene_14809,7,True,no,0.247646,0.293570
scene_14862,8,False,no,0.114722,0.295342
scene_12075,8,False,yes,0.197435,0.293379
scene_11699,7,True,no,0.256853,0.291510
scene_10897,8,True,yes,0.147794,0.240313
scene_14587,6,True,no,0.087536,0.093457
scene_13085,7,True,no,0.235432,0.218622
scene_11755,8,True,yes,0.065368,0.165081
scene_12773,7,True,no,0.268067,0.302881
scene_10283,6,True,no,0.191983,0.167333
scene_12754,7,True,yes,0.133950,0.208521
scene_10065,8,False,no,0.230446,0.289922
scene_11059,8,False,yes,0.081362,0.254977
scene_12744,8,True,no,0.108065,0.180007
scene_10305,8,True,no,0.155940,0.254073
scene_12488,7,False,no,0.136341,0.203823
scene_14977,8,True,no,0.190333,0.264452
scene_11354,6,False,no,0.042357,0.112748
scene_13222,8,True,no,0.145294,0.252189
scene_10007,8,False,no,0.252229,0.311723
scene_10104,8,True,yes,0.086854,0.299182
scene_11406,7,False,no,0.118708,0.181107
scene_10534,8,False,no,0.062156,0.188687
scene_14829,8,True,no,0.139374,0.235872
scene_13798,8,False,no,0.067304,0.209309
scene_13270,8,True,no,0.195952,0.276127
scene_11851,8,True,no,0.096817,0.232657
scene_13540,8,True,no,0.128674,0.228962
scene_13709,8,True,yes,0.143978,0.269262
scene_12251,7,False,no,0.058556,0.258799
scene_12887,8,False,no,0.140980,0.278877
scene_12183,7,True,no,0.180132,0.188857
scene_12393,8,True,no,0.089034,0.196202
scene_13878,8,False,no,0.146066,0.253829
scene_12575,7,True,no,0.190253,0.243878
scene_10008,6,True,no,0.058830,0.067716
scene_14114,8,False,no,0.148185,0.244490
scene_14080,8,True,no,0.134464,0.294490
scene_13209,8,True,no,0.129271,0.237563
scene_11768,6,True,yes,0.276394,0.262915
scene_12036,8,False,no,0.099548,0.244770
scene_14959,7,True,no,0.089270,0.105523
scene_12234,6,True,no,0.238820,0.202337
scene_11239,7,False,yes,0.106438,0.137316
scene_10825,8,False,yes,0.201809,0.287743
scene_10894,8,False,no,0.168987,0.225586
scene_12940,8,False,no,0.102134,0.199635
scene_14897,8,True,no,0.143939,0.223789
scene_12972,7,False,no,0.061796,0.096959
scene_14168,8,True,yes,0.184845,0.215996
scene_14424,8,False,yes,0.058132,0.142505
scene_10916,8,False,no,0.142481,0.175619
scene_11370,7,True,no,0.081399,0.158762
scene_11855,6,False,no,0.091152,0.081741
scene_10092,7,False,no,0.079342,0.135472
scene_13079,8,False,yes,0.254253,0.279978
scene_10167,7,False,no,0.163307,0.191652
scene_10709,8,True,yes,0.094158,0.188102
scene_10923,7,True,no,0.085189,0.281766
scene_14836,7,False,no,0.296768,0.272770
scene_11954,8,True,no,0.142535,0.229554
scene_14564,7,False,no,0.237203,0.302818
scene_10969,8,False,no,0.141733,0.251759
scene_12664,7,True,no,0.277309,0.314097
