scenario,seq_len,ground_truth,answer,lpips,seq_lpips
scene_100,8,False,yes,0.245364,0.403496
scene_132,4,True,no,0.196784,0.168646
scene_212,4,False,yes,0.340492,0.379840
scene_677,6,True,no,0.384888,0.434490
scene_380,8,True,no,0.327624,0.445766
scene_10,6,False,yes,0.513252,0.519613
scene_69,4,False,no,0.392631,0.420896
scene_357,7,False,no,0.043940,0.072367
scene_42,7,False,no,0.041532,0.043237
scene_383,5,True,no,0.306386,0.319084
scene_143,8,False,no,0.475975,0.464535
scene_501,8,False,yes,0.365091,0.375694
scene_251,7,True,no,0.188311,0.347254
scene_386,4,True,no,0.545451,0.501559
scene_198,5,True,yes,0.396065,0.482403
scene_425,5,True,no,0.404063,0.436539
scene_310,8,False,no,0.006658,0.238239
scene_426,4,False,no,0.472921,0.492520
scene_339,8,False,no,0.302775,0.392155
scene_545,6,True,no,0.271132,0.449611
scene_350,5,False,yes,0.363224,0.431323
scene_33,7,False,no,0.443367,0.491264
scene_581,4,True,no,0.422756,0.459601
scene_349,5,False,yes,0.296758,0.397626
scene_443,5,False,no,0.304525,0.248283
scene_450,5,False,no,0.448047,0.472253
scene_534,5,False,no,0.567728,0.572761
scene_301,5,True,yes,0.456685,0.524962
scene_64,5,True,no,0.486160,0.342106
scene_92,4,False,yes,0.475172,0.503651
scene_254,5,False,no,0.601178,0.552265
scene_56,6,False,yes,0.380503,0.405616
scene_361,5,True,yes,0.431479,0.477781
scene_40,7,True,no,0.370703,0.371691
scene_185,6,False,yes,0.373307,0.417993
scene_555,4,True,no,0.501645,0.455733
scene_690,5,False,no,0.234845,0.410580
scene_416,8,False,no,0.503627,0.483899
scene_264,8,False,no,0.213735,0.347612
scene_592,5,True,no,0.285361,0.328055
scene_193,4,False,yes,0.231555,0.353126
scene_311,4,True,yes,0.005425,0.317374
scene_15,5,False,no,0.467690,0.547943
scene_187,6,True,yes,0.467105,0.489294
scene_617,4,False,no,0.551209,0.466573
scene_525,7,False,no,0.502894,0.490917
scene_509,7,False,yes,0.238554,0.428571
scene_227,4,False,no,0.065184,0.185872
scene_642,4,True,no,0.437894,0.399162
scene_297,8,False,no,0.272977,0.329789
scene_554,4,True,yes,0.377115,0.441810
scene_28,8,True,no,0.113342,0.403951
scene_327,4,True,no,0.007206,0.008641
scene_655,5,True,yes,0.365417,0.460042
scene_13,7,False,no,0.383237,0.450952
scene_612,4,True,no,0.515562,0.527625
scene_553,8,False,yes,0.416492,0.498270
scene_510,5,True,no,0.249288,0.372290
scene_96,8,False,yes,0.496556,0.432269
scene_548,4,True,no,0.130508,0.112425
scene_237,4,True,no,0.280904,0.403007
scene_219,4,True,yes,0.074492,0.149973
scene_180,4,False,no,0.490309,0.396407
scene_568,4,False,no,0.350365,0.425522
scene_359,8,False,no,0.347031,0.437462
scene_256,6,True,no,0.414288,0.449717
scene_377,5,False,no,0.418116,0.393094
scene_414,6,True,no,0.377664,0.468930
scene_174,5,False,no,0.015431,0.030037
scene_106,4,True,no,0.388014,0.457081
scene_116,4,True,yes,0.473564,0.451277
scene_290,6,True,no,0.471903,0.469827
scene_599,5,True,no,0.324477,0.276209
scene_62,5,False,yes,0.454022,0.440276
scene_207,7,True,no,0.297708,0.354971
scene_671,6,True,no,0.457320,0.448790
scene_516,6,True,no,0.462204,0.487399
scene_639,7,True,no,0.470976,0.494978
scene_524,8,False,no,0.364937,0.427811
scene_280,4,True,yes,0.266821,0.443178
scene_60,6,True,no,0.062330,0.215776
scene_23,7,False,no,0.536612,0.526606
scene_431,7,False,yes,0.360310,0.433392
scene_532,5,False,no,0.423047,0.423520
scene_600,7,False,no,0.289628,0.408264
scene_411,8,True,no,0.188902,0.364852
scene_43,5,True,no,0.035924,0.151390
scene_567,5,False,yes,0.338665,0.355572
scene_213,5,True,no,0.173686,0.181003
scene_602,6,False,no,0.491566,0.428904
scene_158,4,True,no,0.303525,0.383328
scene_312,8,True,yes,0.072585,0.452974
scene_119,8,False,yes,0.343026,0.429697
scene_564,6,False,no,0.504665,0.522803
scene_542,7,False,yes,0.208330,0.445178
scene_513,7,False,yes,0.234649,0.324011
scene_423,8,True,no,0.268384,0.427423
scene_326,5,True,yes,0.323730,0.339210
scene_622,8,False,yes,0.384373,0.450830
scene_652,5,False,yes,0.465949,0.465584
scene_204,4,False,yes,0.520080,0.494363
scene_140,4,True,no,0.387199,0.468990
scene_255,4,True,no,0.347758,0.387859
scene_77,7,True,no,0.137173,0.526743
scene_492,6,True,no,0.424429,0.401449
scene_321,4,True,no,0.383011,0.479783
scene_650,4,False,no,0.407389,0.395022
scene_406,4,True,yes,0.437926,0.487729
scene_557,8,False,no,0.493143,0.543288
scene_378,8,False,no,0.349030,0.399579
scene_436,5,False,yes,0.357286,0.495220
scene_609,5,True,yes,0.375039,0.392373
scene_306,4,True,yes,0.459203,0.472099
scene_412,7,False,yes,0.245089,0.438506
scene_340,7,True,yes,0.263391,0.335332
scene_632,8,True,yes,0.454989,0.465492
scene_272,8,True,no,0.122941,0.083760
scene_573,7,True,yes,0.471950,0.475042
scene_192,6,False,yes,0.284243,0.512740
scene_455,8,True,no,0.037053,0.052576
scene_129,5,False,no,0.309680,0.478952
scene_489,4,True,no,0.345501,0.504105
scene_200,7,False,yes,0.032155,0.440207
scene_399,5,False,no,0.111847,0.084613
scene_502,8,True,no,0.290983,0.316054
scene_307,4,False,yes,0.352686,0.371597
scene_661,6,True,no,0.487297,0.535337
scene_231,4,False,no,0.248524,0.419098
scene_461,5,False,no,0.382476,0.444846
scene_241,5,True,yes,0.396739,0.501190
scene_110,6,True,no,0.463927,0.492785
scene_490,5,False,yes,0.538895,0.501786
scene_503,6,False,no,0.490129,0.442428
scene_171,7,False,yes,0.121972,0.468262
scene_188,8,False,no,0.326047,0.461576
scene_368,6,True,yes,0.474695,0.472831
scene_184,5,True,yes,0.493359,0.496434
scene_315,5,False,no,0.459051,0.484960
scene_417,8,True,yes,0.377229,0.455750
scene_365,7,False,yes,0.431385,0.495609
scene_547,5,False,no,0.310474,0.469153
scene_636,8,True,yes,0.306228,0.409300
scene_437,6,False,no,0.427597,0.469896
scene_614,6,False,yes,0.280972,0.256905
scene_285,5,True,no,0.023029,0.039574
scene_480,8,False,no,0.204872,0.207132
scene_147,7,True,no,0.246899,0.368617
scene_457,6,True,yes,0.410415,0.397748
scene_454,8,False,yes,0.256159,0.429372
scene_449,6,True,yes,0.381610,0.305824
scene_155,6,False,yes,0.475392,0.494640
scene_286,5,False,no,0.231274,0.257106
scene_335,6,True,yes,0.582925,0.463708
scene_201,5,False,no,0.096550,0.315056
scene_571,5,True,no,0.384589,0.266565
scene_88,6,True,yes,0.537602,0.515664
scene_404,7,False,no,0.454046,0.522963
scene_152,8,False,yes,0.240638,0.332451
scene_649,4,False,no,0.074451,0.059608
scene_9,8,True,no,0.413092,0.518500
scene_341,4,True,yes,0.264105,0.378822
scene_148,4,False,no,0.284771,0.322929
scene_45,6,False,no,0.195539,0.305442
scene_302,4,False,no,0.473429,0.523044
scene_468,6,False,no,0.073515,0.070617
scene_631,5,True,yes,0.470922,0.434086
scene_435,6,False,yes,0.057435,0.066155
scene_393,8,True,no,0.008605,0.118626
scene_137,7,False,no,0.312983,0.397057
scene_215,4,True,no,0.545119,0.457420
scene_585,5,False,no,0.356216,0.508701
scene_540,5,False,yes,0.337177,0.384874
scene_130,6,True,yes,0.402712,0.447253
scene_164,6,False,yes,0.394959,0.442614
scene_686,6,False,yes,0.442504,0.464934
scene_243,5,False,yes,0.500272,0.460570
scene_197,6,True,no,0.339635,0.301129
scene_17,6,False,no,0.448141,0.398720
scene_221,4,True,no,0.006467,0.007685
scene_453,5,False,no,0.584062,0.491844
scene_424,4,False,no,0.374741,0.519178
scene_392,7,True,yes,0.507567,0.494388
scene_593,6,True,no,0.342666,0.446724
scene_168,8,False,no,0.191690,0.294530
scene_666,6,True,no,0.205769,0.434237
scene_294,6,True,no,0.493839,0.488762
scene_58,8,True,no,0.384679,0.442893
scene_680,5,True,no,0.564886,0.363915
scene_552,6,True,yes,0.415319,0.442145
scene_266,5,False,no,0.382190,0.411091
scene_78,5,True,no,0.246732,0.116659
scene_179,7,False,yes,0.383770,0.420919
scene_514,7,False,no,0.008548,0.369980
scene_102,8,True,no,0.286905,0.411885
scene_113,8,True,yes,0.002428,0.389333
scene_240,5,True,no,0.036734,0.090155
scene_544,4,True,yes,0.543808,0.509584
scene_195,6,True,no,0.493573,0.552381
scene_669,7,True,yes,0.387487,0.487508
scene_634,8,True,yes,0.520316,0.499953
scene_136,5,True,no,0.318161,0.434399
scene_472,5,False,yes,0.500608,0.487521
scene_474,4,True,no,0.013456,0.035390
scene_303,4,False,yes,0.374520,0.357282
scene_91,8,False,no,0.005272,0.016562
scene_12,5,False,yes,0.446301,0.411559
scene_211,6,True,no,0.318248,0.444131
scene_90,6,True,yes,0.526194,0.338690
scene_83,5,False,yes,0.503528,0.512875
scene_578,6,False,no,0.281884,0.411305
scene_320,8,True,yes,0.338560,0.462847
scene_430,8,False,yes,0.376110,0.400272
scene_476,8,False,no,0.231827,0.414624
scene_52,4,True,yes,0.438976,0.419098
scene_522,5,True,yes,0.128243,0.408498
scene_316,5,True,no,0.254572,0.284109
scene_183,5,False,no,0.399620,0.472027
scene_444,4,False,yes,0.491895,0.477614
scene_186,8,False,no,0.477135,0.467090
scene_157,5,True,yes,0.050452,0.127968
scene_515,4,True,yes,0.348452,0.322944
scene_678,6,True,yes,0.074890,0.543196
scene_477,6,False,no,0.373774,0.516217
scene_75,4,True,no,0.542513,0.400157
scene_369,8,True,yes,0.379569,0.409156
scene_491,4,False,no,0.567878,0.581270
scene_18,7,False,no,0.211193,0.390570
scene_279,6,False,yes,0.241700,0.432168
scene_76,6,False,no,0.500366,0.472441
scene_446,4,False,no,0.264288,0.377714
scene_611,4,True,no,0.375894,0.422580
scene_329,6,False,yes,0.382777,0.484701
scene_287,4,True,yes,0.455117,0.431346
scene_218,7,False,no,0.419158,0.492171
scene_282,7,True,yes,0.324473,0.466608
scene_563,6,True,yes,0.072289,0.322840
scene_82,5,True,no,0.419461,0.454713
scene_134,6,False,yes,0.300157,0.451343
scene_66,8,False,no,0.351115,0.233027
scene_170,5,True,yes,0.394969,0.367216
scene_422,7,False,no,0.407448,0.388679
scene_22,8,True,no,0.091547,0.358941
scene_586,6,True,no,0.162432,0.288902
scene_415,7,False,no,0.403892,0.392815
scene_434,5,False,yes,0.545157,0.452700
scene_26,6,False,yes,0.353434,0.456521
scene_533,8,False,yes,0.251134,0.253822
scene_619,6,True,yes,0.388886,0.491184
scene_258,4,True,yes,0.516545,0.468005
scene_324,4,True,yes,0.611364,0.537115
scene_364,6,True,no,0.077427,0.205341
scene_621,4,False,no,0.293142,0.342024
scene_107,7,False,yes,0.298854,0.311758
scene_309,6,False,no,0.267968,0.302096
scene_144,7,False,yes,0.299775,0.472211
scene_139,8,False,yes,0.306683,0.488479
scene_407,5,False,no,0.420243,0.423734
scene_328,8,False,no,0.093826,0.119771
scene_54,6,False,no,0.479530,0.454841
scene_539,6,False,no,0.519364,0.515132
scene_625,5,False,yes,0.444009,0.444360
scene_68,6,False,no,0.578258,0.507432
scene_53,7,False,no,0.105447,0.287017
scene_355,6,True,no,0.064063,0.286044
scene_283,4,False,yes,0.108848,0.278328
scene_351,4,False,yes,0.385840,0.380054
scene_651,4,True,yes,0.475190,0.401501
scene_313,6,True,yes,0.219843,0.359187
scene_154,7,True,yes,0.235320,0.265952
scene_278,6,False,no,0.384986,0.413210
scene_587,4,True,yes,0.335576,0.363569
scene_575,7,True,yes,0.267737,0.411668
scene_145,8,True,no,0.113298,0.273645
scene_189,4,True,no,0.271675,0.312167
scene_125,8,True,no,0.185567,0.347508
scene_528,8,True,yes,0.104831,0.120795
scene_178,7,True,yes,0.344409,0.403122
scene_358,4,True,yes,0.606330,0.559963
scene_360,6,False,no,0.344898,0.342836
scene_259,4,True,yes,0.522932,0.483960
scene_427,8,False,yes,0.382010,0.473634
scene_275,6,True,yes,0.312377,0.396476
scene_653,5,True,no,0.446905,0.513219
scene_51,6,False,yes,0.286341,0.372963
scene_288,5,True,no,0.289770,0.390324
scene_318,6,False,yes,0.235233,0.274413
scene_354,7,False,yes,0.495516,0.514558
scene_4,4,True,yes,0.396070,0.483647
scene_37,6,False,yes,0.185416,0.347486
scene_366,5,False,yes,0.455825,0.498400
scene_610,6,False,yes,0.437099,0.463621
scene_153,8,True,no,0.285953,0.469968
scene_467,4,True,yes,0.448425,0.425550
scene_343,5,True,yes,0.386966,0.297864
scene_493,6,False,yes,0.006057,0.209055
scene_202,6,False,yes,0.382469,0.416751
scene_420,4,False,yes,0.556051,0.502353
scene_122,7,False,yes,0.329350,0.372685
scene_397,5,False,no,0.020622,0.036766
scene_535,5,False,yes,0.431098,0.464983
scene_658,4,False,yes,0.460638,0.466896
scene_133,8,False,yes,0.241303,0.416237
scene_562,4,True,no,0.373274,0.486622
scene_267,7,True,no,0.254962,0.495964
scene_289,5,True,yes,0.478788,0.453120
scene_298,6,True,yes,0.045757,0.066317
scene_336,6,True,yes,0.317449,0.389155
scene_624,7,False,no,0.522185,0.419494
scene_646,7,True,yes,0.362597,0.475417
scene_317,7,True,no,0.461025,0.496082
scene_20,8,True,yes,0.294632,0.480507
scene_384,7,False,yes,0.290288,0.418689
scene_402,8,False,no,0.384131,0.394999
scene_126,8,True,no,0.312116,0.271972
scene_291,4,True,yes,0.310182,0.377548
scene_61,5,True,no,0.265553,0.336574
scene_561,7,False,yes,0.333577,0.450993
scene_120,6,True,no,0.302310,0.229807
scene_345,4,False,yes,0.358200,0.368370
scene_506,5,True,yes,0.010316,0.334975
scene_304,4,False,yes,0.492132,0.377716
scene_35,6,False,yes,0.297821,0.407840
scene_681,6,True,no,0.285484,0.404836
scene_41,4,False,no,0.409623,0.517036
scene_260,7,True,no,0.357777,0.361625
scene_396,8,False,yes,0.454106,0.493627
scene_537,5,False,yes,0.438043,0.476254
scene_529,6,False,yes,0.512349,0.443619
scene_572,6,True,yes,0.376046,0.436950
scene_244,5,True,yes,0.338916,0.443896
scene_299,8,False,no,0.538889,0.474529
scene_439,7,False,yes,0.432966,0.474100
scene_403,8,False,no,0.004711,0.084473
scene_160,6,True,no,0.510559,0.525835
scene_523,6,True,yes,0.491278,0.511477
scene_465,6,True,yes,0.471953,0.459832
scene_277,5,False,yes,0.398354,0.390216
scene_376,7,False,yes,0.475725,0.523825
scene_635,4,True,yes,0.314979,0.499110
scene_29,6,False,yes,0.499293,0.507804
scene_111,8,True,yes,0.420117,0.387787
scene_151,5,False,no,0.406999,0.549467
scene_456,4,True,no,0.308366,0.365708
scene_79,6,True,no,0.493546,0.457664
scene_249,4,False,no,0.503757,0.496109
scene_695,4,True,yes,0.015042,0.327672
scene_338,5,False,no,0.399965,0.460965
scene_630,5,False,yes,0.552525,0.522809
scene_418,6,False,no,0.060248,0.098607
scene_374,7,True,yes,0.343989,0.290703
scene_356,8,False,no,0.357103,0.404760
scene_452,4,False,yes,0.348430,0.450000
scene_597,4,False,no,0.407289,0.463216
scene_232,4,False,no,0.049297,0.055955
scene_419,4,False,yes,0.582876,0.534290
scene_485,8,True,no,0.531050,0.465008
scene_135,8,False,no,0.314043,0.373832
scene_199,8,True,no,0.250888,0.358277
scene_1,4,True,no,0.449760,0.526036
scene_194,4,True,yes,0.353019,0.412668
scene_84,7,True,no,0.289171,0.370276
scene_508,7,False,no,0.308061,0.430418
scene_526,6,False,yes,0.392684,0.536369
scene_495,5,True,no,0.396520,0.464094
scene_538,4,False,yes,0.126858,0.153803
scene_496,5,True,yes,0.480612,0.441620
scene_482,7,True,yes,0.435338,0.466471
scene_85,8,True,no,0.014641,0.022368
scene_499,5,False,yes,0.426140,0.418279
scene_385,6,True,yes,0.413461,0.493160
scene_47,6,False,yes,0.303660,0.445471
scene_672,8,True,no,0.277424,0.448291
scene_428,8,False,yes,0.231778,0.467913
scene_494,6,True,yes,0.312489,0.337271
scene_333,6,False,yes,0.309998,0.440557
scene_693,7,False,no,0.110678,0.141627
scene_466,5,True,no,0.402830,0.522407
scene_692,4,True,no,0.436988,0.496575
scene_590,8,True,no,0.015666,0.142162
scene_460,4,True,no,0.399674,0.360441
scene_483,5,True,yes,0.006921,0.239571
scene_226,8,True,no,0.457953,0.499004
scene_38,5,False,yes,0.318111,0.458744
scene_447,4,True,yes,0.101181,0.123497
scene_458,5,True,no,0.006096,0.089367
scene_236,4,True,yes,0.425229,0.513061
scene_498,4,True,no,0.543258,0.553645
scene_583,6,False,no,0.522907,0.434632
scene_475,4,False,no,0.442703,0.493368
scene_638,5,False,yes,0.612521,0.550677
scene_229,8,True,yes,0.250738,0.330126
scene_606,5,True,yes,0.359631,0.449205
scene_481,5,False,no,0.379530,0.493731
scene_98,5,False,yes,0.527810,0.454070
scene_647,5,True,no,0.004887,0.038545
scene_55,8,True,yes,0.367007,0.244912
scene_441,5,False,yes,0.371856,0.372991
scene_409,4,True,no,0.523924,0.475491
scene_173,8,False,no,0.207227,0.153783
scene_372,5,False,no,0.053675,0.058483
scene_206,5,False,no,0.003922,0.087783
scene_31,7,True,yes,0.188413,0.239444
scene_50,5,True,no,0.449727,0.472018
scene_330,6,False,no,0.596831,0.477841
scene_334,6,True,yes,0.413762,0.466308
scene_659,4,True,no,0.406834,0.439036
scene_676,6,True,no,0.373872,0.438160
scene_628,5,True,yes,0.423121,0.405086
scene_442,7,True,yes,0.493579,0.474589
scene_239,5,False,yes,0.100020,0.120089
scene_210,5,False,no,0.467269,0.484168
scene_527,5,True,yes,0.449532,0.497727
scene_181,4,True,no,0.459480,0.459801
scene_660,7,True,no,0.165898,0.329006
scene_337,5,False,yes,0.335057,0.457416
scene_49,7,False,no,0.336209,0.435757
scene_582,7,True,yes,0.324452,0.459686
scene_97,6,True,yes,0.410421,0.442037
scene_208,7,True,no,0.044473,0.524779
scene_413,6,False,no,0.312597,0.449702
scene_487,6,True,yes,0.510236,0.525201
scene_401,6,True,no,0.096846,0.395342
scene_124,4,False,no,0.427337,0.467291
scene_242,6,True,no,0.566359,0.509545
scene_295,4,True,no,0.364086,0.422557
scene_292,4,True,no,0.445565,0.515396
scene_451,6,False,yes,0.359092,0.327788
scene_478,6,True,no,0.415646,0.476005
scene_588,5,True,no,0.295227,0.460209
scene_605,8,True,no,0.375457,0.481600
scene_615,8,True,yes,0.487732,0.440350
scene_109,7,False,yes,0.373708,0.431493
scene_248,4,True,no,0.458971,0.402411
scene_342,5,True,yes,0.222927,0.328816
scene_595,4,False,yes,0.345029,0.442164
scene_121,4,False,yes,0.301462,0.335080
scene_263,8,False,no,0.323929,0.363708
scene_36,5,False,yes,0.457403,0.437625
scene_530,4,True,no,0.449297,0.428633
scene_440,8,True,no,0.377734,0.462594
scene_16,5,False,no,0.369471,0.423963
scene_463,4,False,yes,0.472906,0.482958
scene_34,6,True,yes,0.375053,0.438147
scene_569,7,False,no,0.472984,0.500187
scene_682,5,False,yes,0.427279,0.475231
scene_608,6,False,no,0.442296,0.458311
scene_362,6,False,yes,0.074441,0.357867
scene_72,6,True,yes,0.519361,0.445876
scene_7,6,False,no,0.133763,0.140978
scene_670,4,False,no,0.304099,0.364475
scene_235,4,False,no,0.252989,0.434160
scene_21,4,False,no,0.608029,0.543233
scene_346,6,True,yes,0.446707,0.443256
scene_577,7,False,yes,0.492265,0.432792
scene_230,6,False,no,0.325981,0.391795
scene_253,4,False,yes,0.434303,0.446680
scene_123,4,False,no,0.417406,0.429302
scene_462,5,True,no,0.379904,0.442527
scene_448,6,False,no,0.372084,0.480589
scene_550,5,False,no,0.270570,0.339351
scene_589,7,False,yes,0.530535,0.514670
scene_319,4,False,no,0.035596,0.149807
scene_205,7,False,yes,0.359932,0.349541
scene_685,7,False,yes,0.193067,0.391281
scene_433,8,True,no,0.037072,0.265044
scene_596,7,False,no,0.281291,0.483862
scene_169,8,True,yes,0.366544,0.300576
scene_486,5,False,yes,0.290361,0.299840
scene_131,6,False,yes,0.445588,0.470247
scene_128,6,True,no,0.435250,0.488302
scene_70,5,True,yes,0.345732,0.418525
scene_497,5,False,no,0.362008,0.440026
scene_87,6,True,yes,0.334277,0.484350
scene_645,7,True,no,0.068776,0.190911
scene_246,6,True,yes,0.468241,0.553074
scene_59,8,True,yes,0.279380,0.233753
scene_245,7,True,no,0.599783,0.461524
scene_314,8,False,yes,0.391790,0.474305
scene_371,7,False,yes,0.305762,0.527992
scene_644,6,False,no,0.480596,0.476105
scene_19,6,True,yes,0.379677,0.370553
scene_500,6,True,yes,0.369367,0.397431
scene_331,8,False,no,0.262843,0.338158
scene_0,8,True,yes,0.234489,0.524924
scene_543,8,False,yes,0.338709,0.505782
scene_165,8,True,yes,0.373369,0.455044
scene_382,8,False,no,0.467149,0.477632
scene_668,8,True,yes,0.346690,0.414207
scene_674,8,False,no,0.405004,0.492777
scene_556,5,False,no,0.508120,0.525738
scene_305,4,True,no,0.471218,0.543249
scene_108,8,False,no,0.236347,0.344971
scene_519,7,True,no,0.345244,0.437283
scene_182,8,True,no,0.388468,0.481004
scene_512,5,True,yes,0.330810,0.486912
scene_640,7,True,no,0.014987,0.204292
scene_3,8,False,no,0.351291,0.374739
scene_629,6,True,no,0.327528,0.425616
scene_161,4,True,no,0.082367,0.077389
scene_445,4,False,yes,0.429755,0.448376
scene_643,6,True,yes,0.392492,0.435010
scene_694,6,True,no,0.364676,0.436119
scene_663,8,False,yes,0.111706,0.119501
scene_623,5,True,no,0.274535,0.353912
scene_648,5,False,yes,0.274341,0.354707
scene_117,4,True,yes,0.419781,0.399108
scene_11,8,False,yes,0.174383,0.391401
scene_566,6,True,yes,0.338457,0.364079
scene_257,6,True,yes,0.491924,0.457687
scene_541,7,False,yes,0.388413,0.421443
scene_479,5,False,yes,0.035893,0.308005
scene_390,5,False,yes,0.521607,0.534629
scene_394,8,False,yes,0.127479,0.132706
scene_65,6,True,yes,0.463676,0.499980
scene_664,8,True,yes,0.321462,0.446186
scene_673,5,False,no,0.202575,0.415691
scene_156,5,False,no,0.007998,0.027194
scene_112,4,True,yes,0.352630,0.342049
scene_48,5,False,no,0.141083,0.276621
scene_93,6,False,no,0.065018,0.115428
scene_505,4,False,yes,0.512558,0.547155
scene_521,6,False,yes,0.559341,0.519620
scene_141,6,True,no,0.092114,0.353029
scene_613,4,True,yes,0.193042,0.286308
scene_641,5,False,yes,0.492170,0.464839
scene_408,4,True,yes,0.465178,0.497635
scene_438,8,False,no,0.340242,0.448956
scene_269,7,False,yes,0.308447,0.402874
scene_551,5,True,no,0.411620,0.517691
scene_675,6,True,yes,0.382399,0.506071
scene_252,5,True,yes,0.111015,0.173584
scene_689,6,False,no,0.433656,0.513048
scene_271,5,False,yes,0.493263,0.461205
scene_146,7,True,yes,0.278928,0.350207
scene_469,8,False,no,0.507530,0.506407
scene_405,6,False,yes,0.226028,0.521678
scene_511,8,True,yes,0.212814,0.326595
scene_217,4,True,no,0.427240,0.461565
scene_322,8,True,no,0.182163,0.164204
scene_580,7,False,yes,0.362211,0.434162
scene_216,6,True,no,0.069003,0.133689
scene_67,5,False,no,0.341105,0.429342
scene_274,5,True,yes,0.309346,0.399741
scene_410,4,True,yes,0.358814,0.386513
scene_323,6,False,no,0.037854,0.056818
scene_683,4,True,yes,0.306854,0.380825
scene_234,5,True,yes,0.009699,0.037624
scene_57,8,False,no,0.123112,0.177382
scene_332,5,False,no,0.451947,0.332922
scene_224,5,False,no,0.173211,0.489934
scene_570,7,False,no,0.364336,0.380260
scene_276,6,True,no,0.056952,0.118502
scene_388,6,False,no,0.419747,0.465804
scene_473,6,False,no,0.344836,0.389948
scene_167,6,True,yes,0.149580,0.469620
scene_691,4,True,yes,0.429447,0.361693
scene_546,7,True,yes,0.478588,0.397939
scene_175,5,False,no,0.091415,0.114119
scene_73,6,False,no,0.443216,0.403584
scene_273,6,False,no,0.360112,0.497299
scene_214,4,True,yes,0.528809,0.474761
scene_363,6,False,no,0.173063,0.299425
scene_379,6,False,no,0.504452,0.497828
scene_166,7,True,no,0.309402,0.372285
scene_373,5,False,no,0.084290,0.150069
scene_464,7,False,yes,0.469949,0.436961
scene_662,4,True,yes,0.430352,0.501567
scene_656,4,True,yes,0.344289,0.409347
scene_103,5,True,yes,0.342112,0.401834
scene_679,6,False,no,0.275100,0.361488
scene_81,5,False,no,0.006813,0.014295
scene_296,5,False,yes,0.447770,0.410771
scene_233,6,True,no,0.533342,0.387900
scene_46,5,False,no,0.514047,0.501921
scene_71,8,True,no,0.318224,0.515401
scene_196,5,True,yes,0.540233,0.527546
scene_591,5,True,no,0.204925,0.330817
scene_370,5,True,yes,0.452683,0.387184
scene_633,6,False,yes,0.267811,0.381192
scene_300,4,True,yes,0.404407,0.479954
scene_565,4,False,no,0.323300,0.346292
scene_80,6,True,no,0.339099,0.397706
scene_387,6,False,yes,0.195670,0.475216
scene_127,6,False,yes,0.056301,0.367228
scene_549,5,True,no,0.517812,0.489064
